algoritmo,tipo,tamanho,comparacoes,tempo
bubble,sorted,1000,499500,0.000800
bubble,sorted,10000,49995000,0.080200
bubble,sorted,100000,4999950000,7.821400
bubble,sorted,500000,124999750000,192.726600
bubble,sorted,1000000,499999500000,769.442800
bubble,random,1000,499500,0.001200
bubble,random,10000,49995000,0.113400
bubble,random,100000,4999950000,18.075000
bubble,random,500000,124999750000,296.186800
bubble,random,1000000,499999500000,990.947000
bubble,reverse,1000,499500,0.001600
bubble,reverse,10000,49995000,0.143400
bubble,reverse,100000,4999950000,14.196800
bubble,reverse,500000,124999750000,353.467800
bubble,reverse,1000000,499999500000,1413.650800
insertion,sorted,1000,999,0.000000
insertion,sorted,10000,9999,0.000000
insertion,sorted,100000,99999,0.000400
insertion,sorted,500000,499999,0.001400
insertion,sorted,1000000,999999,0.002400
insertion,random,1000,250170,0.000400
insertion,random,10000,25825013,0.047000
insertion,random,100000,2632133853,4.809000
insertion,random,500000,22149120770,40.338800
insertion,random,1000000,46745909839,85.275000
insertion,reverse,1000,499500,0.001000
insertion,reverse,10000,49995000,0.092000
insertion,reverse,100000,4999950000,9.176800
insertion,reverse,500000,124999750000,228.485800
insertion,reverse,1000000,499999500000,914.238600
merge,sorted,1000,5044,0.000200
merge,sorted,10000,69008,0.001600
merge,sorted,100000,853904,0.016000
merge,sorted,500000,4783216,0.081800
merge,sorted,1000000,10066432,0.166800
merge,random,1000,8706,0.000200
merge,random,10000,120458,0.001800
merge,random,100000,1536218,0.021200
merge,random,500000,8836256,0.108600
merge,random,1000000,18533963,0.221800
merge,reverse,1000,4932,0.000200
merge,reverse,10000,64608,0.001600
merge,reverse,100000,815024,0.015600
merge,reverse,500000,4692496,0.084400
merge,reverse,1000000,9884992,0.169800
quick,sorted,1000,7987,0.000000
quick,sorted,10000,113631,0.000400
quick,sorted,100000,1468946,0.004200
quick,sorted,500000,8475732,0.022600
quick,sorted,1000000,17951445,0.047200
quick,random,1000,10273,0.000000
quick,random,10000,131417,0.000800
quick,random,100000,1724459,0.008600
quick,random,500000,11198700,0.047600
quick,random,1000000,26945865,0.100400
quick,reverse,1000,14205,0.000000
quick,reverse,10000,218585,0.000600
quick,reverse,100000,2940915,0.007400
quick,reverse,500000,17564390,0.044200
quick,reverse,1000000,37574450,0.090200
